1;Raisehell.exe;1
2;Dead By Daylight;1
3;Escaping The Fate;1
4;Product To Blame;1
5;Echo;1
6;Options;1
7;In Your Dreams;1
8;Rumination;1
9;Acceptance;1
10;Nail In The Casket;1
11;Halo;1
12;Prize Pig;1
13;The Edge;1
14;Going Under;2
15;Bring Me to Life;2
16;Everybody's Fool;2
17;My Immortal;2
18;Haunted;2
19;Tourniquet;2
20;Imaginary;2
21;Taking Over Me;2
22;Hello;2
23;My Last Breath;2
24;Whisper;2
25;Intro;3
26;The Diary Of Jane;3
27;Breath;3
28;You;3
29;Evil Angel;3
30;Until The End;3
31;Dance With The Devil;3
32;Topless;3
33;Here We Are;3
34;Unknown Soldier;3
35;Had Enough;3
36;You Fight Me;3
37;Outro;3
38;Dear Diary,;4
39;Parasite Eve;4
40;Teardrops;4
41;Obey;4
42;Itch For The Cure;4
43;Kingslayer;4
44;1x1;4
45;Ludens;4
46;One Day The Only Butterflies Left Will Be In Your Chest As You March Towards Your Death;4
47;Alerion;5
48;Final Episode;5
49;A Candlelit Dinner With Inamorta;5
50;Nobody Don't Dance No More;5
51;Hey There Mr. Brooks;5
52;Hiatus;5
53;If You Can't Ride Two Horses at Once.. You Should Get Out Of The Circus;5
54;A Single Moment Of Sincerity;5
55;Not The American Average;5
56;I Used To Have a Best Friend;5
57;A Prophecy;5
58;I Was Once, Possibily, Maybe, Perhaps a Cowboy King;5
59;When Everyday's The Weekend;5
60;Death Inside;6
